Multi MS Window Export

Acqusition Time: 13.09.2019 / 08:09:38
Number of Spectra: 804
Min Mass: 61.75830315784616 m/z
Max Mass: 62.19060850537836 m/z
Number of Accumulations: 100
Interscandelay: 100
Time Multiplicity: 2
Overflow Number: 0
Calibration-B: 0.568877016776
Time Step: 0.0016
comment:
mass 62
laser on
347 IT
MRS ON
(actually off)


Summed: 
_004 MS 13 on
_005 MS40 on
_006


Target:	MS "MS 1 - 804 t-res ni=671.63"
m/z	->	Log10
61.91451672740148	0
61.91455342041814	0
61.91459011344568	0
61.91462680648408	1
61.91466349953336	0
61.91470019259351	0
61.91473688566453	0
61.91477357874643	0
61.9148102718392	1
61.91484696494284	0
61.91488365805736	0
61.91492035118274	0
61.914957044319	1
61.91499373746614	0
61.91503043062415	1
61.91506712379303	0
61.91510381697278	0
61.9151405101634	0
61.91517720336491	0
61.91521389657727	0
61.91525058980051	0
61.91528728303464	1
61.91532397627962	1
61.91536066953549	1
61.91539736280222	1
61.91543405607983	1
61.91547074936831	1
61.91550744266767	0
61.91554413597789	1
61.91558082929899	0
61.91561752263097	0
61.91565421597381	0
61.91569090932753	0
61.91572760269212	1
61.91576429606759	0
61.91580098945392	0
61.91583768285113	0
61.91587437625921	0
61.91591106967817	1
61.91594776310799	0
61.9159844565487	1
61.91602115000027	0
61.91605784346272	0
61.91609453693604	1
61.91613123042023	0
61.9161679239153	0
61.91620461742124	1
61.91624131093805	0
61.91627800446573	0
61.91631469800429	0
61.91635139155372	0
61.91638808511402	0
61.9164247786852	0
61.91646147226724	0
61.91649816586017	0
61.91653485946397	0
61.91657155307863	0
61.91660824670417	0
61.91664494034058	0
61.91668163398787	0
61.91671832764603	0
61.91675502131506	0
61.91679171499496	0
61.91682840868574	0
61.91686510238739	0
61.91690179609991	0
61.91693848982331	0
61.91697518355758	0
61.91701187730272	0
61.91704857105874	0
61.91708526482562	1
61.91712195860338	0
61.91715865239202	0
61.91719534619152	0
61.9172320400019	0
61.91726873382315	0
61.91730542765528	0
61.91734212149827	0
61.91737881535214	0
61.91741550921689	0
61.9174522030925	0
61.91748889697899	0
61.91752559087636	0
61.91756228478459	0
61.9175989787037	0
61.91763567263368	0
61.91767236657454	0
61.91770906052626	0
61.91774575448886	0
61.91778244846233	1
61.91781914244667	0
61.91785583644189	0
61.91789253044799	0
61.91792922446495	1
61.91796591849278	0
61.9180026125315	0
61.91803930658107	0
61.91807600064153	0
61.91811269471286	0
61.91814938879506	0
61.91818608288813	0
61.91822277699207	0
61.9182594711069	0
61.91829616523259	1
61.91833285936915	0
61.91836955351659	0
61.9184062476749	0
61.91844294184408	0
61.91847963602414	0
61.91851633021507	0
61.91855302441687	0
61.91858971862955	1
61.9186264128531	0
61.91866310708752	0
61.91869980133281	0
61.91873649558898	0
61.91877318985602	0
61.91880988413393	0
61.91884657842272	0
61.91888327272238	0
61.91891996703291	0
61.91895666135431	0
61.91899335568659	0
61.91903005002973	0
61.91906674438376	1
61.91910343874866	0
61.91914013312442	0
61.91917682751107	1
61.91921352190857	0
61.91925021631696	1
61.91928691073623	0
61.91932360516635	0
61.91936029960736	0
61.91939699405924	1
61.91943368852199	1
61.91947038299561	1
61.91950707748011	1
61.91954377197548	0
61.91958046648173	1
61.91961716099884	0
61.91965385552682	0
61.91969055006569	0
61.91972724461542	0
61.91976393917603	3
61.91980063374751	0
61.91983732832986	0
61.91987402292309	1
61.91991071752719	0
61.91994741214216	0
61.91998410676801	0
61.92002080140472	0
61.92005749605231	0
61.92009419071077	0
61.92013088538011	0
61.92016758006032	0
61.9202042747514	0
61.92024096945335	0
61.92027766416618	0
61.92031435888988	0
61.92035105362445	0
61.9203877483699	0
61.92042444312622	0
61.92046113789341	1
61.92049783267147	1
61.92053452746041	0
61.92057122226022	1
61.9206079170709	0
61.92064461189246	0
61.92068130672489	0
61.92071800156819	0
61.92075469642236	0
61.92079139128741	1
61.92082808616333	0
61.92086478105013	0
61.92090147594779	0
61.92093817085633	0
61.92097486577574	0
61.92101156070603	0
61.92104825564719	1
61.92108495059922	0
61.92112164556212	0
61.9211583405359	1
61.92119503552054	0
61.92123173051606	0
61.92126842552246	0
61.92130512053973	0
61.92134181556786	1
61.92137851060688	0
61.92141520565676	0
61.92145190071753	0
61.92148859578916	0
61.92152529087166	0
61.92156198596504	1
61.92159868106929	0
61.92163537618441	0
61.92167207131041	0
61.92170876644728	1
61.92174546159502	0
61.92178215675364	0
61.92181885192313	0
61.92185554710348	0
61.92189224229472	0
61.92192893749682	0
61.92196563270981	0
61.92200232793365	0
61.92203902316838	0
61.92207571841398	0
61.92211241367045	0
61.92214910893779	0
61.92218580421601	2
61.9222224995051	0
61.92225919480506	0
61.9222958901159	0
61.9223325854376	0
61.92236928077018	0
61.92240597611364	0
61.92244267146796	0
61.92247936683317	0
61.92251606220924	0
61.92255275759619	2
61.922589452994	0
61.92262614840269	0
61.92266284382226	0
61.92269953925269	1
61.922736234694	0
61.92277293014618	0
61.92280962560924	0
61.92284632108317	0
61.92288301656797	0
61.92291971206365	0
61.92295640757019	1
61.92299310308761	0
61.9230297986159	0
61.92306649415507	0
61.9231031897051	0
61.92313988526602	0
61.9231765808378	0
61.92321327642046	0
61.92324997201398	0
61.92328666761839	0
61.92332336323366	0
61.92336005885981	0
61.92339675449684	0
61.92343345014473	0
61.92347014580349	0
61.92350684147313	1
61.92354353715365	0
61.92358023284503	0
61.92361692854729	0
61.92365362426042	0
61.92369031998443	0
61.9237270157193	0
61.92376371146506	0
61.92380040722168	1
61.92383710298918	0
