A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
96,-2,47,49,In,   x,-37890.00000,500.00000,8067.00000,5.00000,95959323.00000,537.00000,True
97,27,62,35,Br,   x,-34055.00000,401.00000,8140.00000,4.00000,96963440.00000,430.00000,True
97,25,61,36,Kr,   x,-47423.49200,130.40900,8269.86400,1.34400,96949088.78400,140.00000,False
97,23,60,37,Rb,    ,-58519.13700,1.91200,8376.18600,0.02000,96937177.11800,2.05200,False
97,21,59,38,Sr,    ,-68581.45400,3.38500,8471.85600,0.03500,96926374.77600,3.63300,False
97,19,58,39,Y,   +,-76121.42400,6.71900,8541.52200,0.06900,96918280.28600,7.21300,False
97,17,57,40,Zr,    ,-82942.66100,0.41400,8603.77900,0.00400,96910957.38600,0.44400,False
97,15,56,41,Nb,    ,-85605.77600,4.24900,8623.16800,0.04400,96908098.41400,4.56100,False
97,13,55,42,Mo,    ,-87544.69100,0.16500,8635.09200,0.00200,96906016.90300,0.17600,False
97,11,54,43,Tc,    ,-87224.42400,4.11800,8623.72500,0.04200,96906360.72300,4.42000,False
97,9,53,44,Ru,  -n,-86120.55200,2.76300,8604.27900,0.02800,96907545.77900,2.96500,False
97,7,52,45,Rh,   -,-82597.55200,35.46300,8559.89400,0.36600,96911327.87600,38.07100,False
97,5,51,46,Pd,   x,-77805.84300,4.84400,8502.43000,0.05000,96916471.98700,5.20000,False
97,3,50,47,Ag,   -,-70825.84300,110.10700,8422.40500,1.13500,96923965.32600,118.20400,False
97,1,49,48,Cd,   x,-60454.00000,298.00000,8307.00000,3.00000,96935100.00000,320.00000,True
97,-1,48,49,In,   x,-47189.00000,401.00000,8163.00000,4.00000,96949340.00000,430.00000,True
98,28,63,35,Br,   x,-28250.00000,400.00000,8080.00000,4.00000,97969672.00000,429.00000,True
98,26,62,36,Kr,   x,-44311.00000,298.00000,8236.00000,3.00000,97952430.00000,320.00000,True
98,24,61,37,Rb,    ,-54369.14600,16.08300,8330.72900,0.16400,97941632.31700,17.26500,False
98,22,60,38,Sr,    ,-66423.10400,3.22600,8445.74500,0.03300,97928691.86000,3.46300,False
98,20,59,39,Y,p-2n,-72294.77700,7.92900,8497.67700,0.08100,97922388.36000,8.51100,False
98,18,58,40,Zr,    ,-81286.70900,8.45100,8581.44800,0.08600,97912735.12400,9.07200,False
98,16,57,41,Nb, -pn,-83524.59800,5.00100,8596.30100,0.05100,97910332.65000,5.36900,False
98,14,56,42,Mo,    ,-88115.97200,0.17400,8635.16800,0.00200,97905403.60800,0.18600,False
98,12,55,43,Tc,    ,-86432.20500,3.38000,8610.00400,0.03400,97907211.20500,3.62800,False
98,10,54,44,Ru,    ,-88224.85800,6.46300,8620.31300,0.06600,97905286.71300,6.93700,False
98,8,53,45,Rh,   -,-83175.20500,11.90600,8560.80300,0.12100,97910707.74000,12.78200,False
98,6,52,46,Pd,    ,-81320.97500,4.74200,8533.89900,0.04800,97912698.33700,5.09000,False
98,4,51,47,Ag,    ,-73066.41500,32.90700,8441.68600,0.33600,97921559.97200,35.32700,False
98,2,50,48,Cd,   -,-67636.41500,51.79700,8378.29500,0.52900,97927389.31700,55.60500,False
98,0,49,49,In,   x,-53896.00000,298.00000,8230.00000,3.00000,97942140.00000,320.00000,True
99,27,63,36,Kr,   x,-38759.00000,401.00000,8178.00000,4.00000,98958390.00000,430.00000,True
99,25,62,37,Rb,   x,-51121.14300,4.03100,8295.30000,0.04100,98945119.19200,4.32700,False
99,23,61,38,Sr,    ,-62521.40100,4.74100,8402.55200,0.04800,98932880.51100,5.08900,False
99,21,60,39,Y,   x,-70649.82500,6.62700,8476.75500,0.06700,98924154.28800,7.11400,False
99,19,59,40,Zr,    ,-77620.61700,10.50200,8539.26400,0.10600,98916670.83500,11.27400,False
99,17,58,41,Nb,  +p,-82335.34100,12.00400,8578.98500,0.12100,98911609.37100,12.88600,False
99,15,57,42,Mo,    ,-85970.09800,0.22900,8607.79700,0.00200,98907707.29800,0.24500,False
99,13,56,43,Tc,    ,-87327.86200,0.90800,8613.61000,0.00900,98906249.67800,0.97400,False
99,11,55,44,Ru,    ,-87625.38100,0.34400,8608.71200,0.00300,98905930.27800,0.36900,False
99,9,54,45,Rh,    ,-85581.30000,6.69700,8580.16300,0.06800,98908124.69000,7.18900,False
99,7,53,46,Pd,    ,-82182.65100,4.98100,8537.93000,0.05000,98911773.29000,5.34700,False
99,5,52,47,Ag,   x,-76712.47300,6.26500,8474.77400,0.06300,98917645.76800,6.72500,False
99,3,51,48,Cd,   x,-69931.12300,1.58400,8398.37300,0.01600,98924925.84700,1.70000,False
99,1,50,49,In,   x,-61376.00000,298.00000,8304.00000,3.00000,98934110.00000,320.00000,True
99,-1,49,50,Sn,   x,-47944.00000,503.00000,8160.00000,5.00000,98948530.00000,540.00000,True
100,28,64,36,Kr,   x,-35052.00000,401.00000,8140.00000,4.00000,99962370.00000,430.00000,True
100,26,63,37,Rb,   x,-46247.06400,19.56100,8244.32000,0.19600,99950351.73100,21.00000,False
100,24,62,38,Sr,    ,-59820.90300,7.16000,8372.23400,0.07200,99935779.61500,7.68600,False
100,22,61,39,Y,   x,-67327.39600,11.18600,8439.47600,0.11200,99927721.06300,12.00800,False
100,20,60,40,Zr,    ,-76377.43700,8.14900,8522.15300,0.08100,99918005.44400,8.74800,False
100,18,59,41,Nb,  IT,-79797.39900,7.98600,8548.52900,0.08000,99914333.96300,8.57300,False
100,16,58,42,Mo,    ,-86193.02500,0.30200,8604.66200,0.00300,99907467.97600,0.32300,False
100,14,57,43,Tc,  -n,-86020.94500,1.35100,8595.11800,0.01400,99907652.71100,1.45000,False
