A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
1,1,1,0,n,    ,8071.31713,0.00046,0.00000,0.00000,1008664.91582,0.00049,False
1,-1,0,1,H,    ,7288.97061,0.00009,0.00000,0.00000,1007825.03224,0.00009,False
2,0,1,1,H,    ,13135.72176,0.00011,1112.28300,0.00000,2014101.77811,0.00012,False
3,1,2,1,H,    ,14949.80993,0.00022,2827.26500,0.00000,3016049.28199,0.00023,False
3,-1,1,2,He,    ,14931.21793,0.00021,2572.68000,0.00000,3016029.32265,0.00022,False
3,-3,0,3,Li, -pp,28667.00000,2000.00000,-2267.00000,667.00000,3030775.00000,2147.00000,True
4,2,3,1,H,  -n,24621.12700,100.00000,1720.44900,25.00000,4026431.86800,107.35400,False
4,0,2,2,He,    ,2424.91561,0.00006,7073.91500,0.00000,4002603.25413,0.00006,False
4,-2,1,3,Li,  -p,25323.18900,212.13200,1153.76000,53.03300,4027185.56200,227.73300,False
5,3,4,1,H, -nn,32892.44400,89.44300,1336.35900,17.88900,5035311.49300,96.02000,False
5,1,3,2,He,  -n,11231.23300,20.00000,5512.13200,4.00000,5012057.22400,21.47000,False
5,-1,2,3,Li,  -p,11678.88600,50.00000,5266.13200,10.00000,5012537.80000,53.67700,False
5,-3,1,4,Be,   x,37139.00000,2003.00000,18.00000,401.00000,5039870.00000,2150.00000,True
6,4,5,1,H, -3n,41875.72100,254.12700,961.63900,42.35400,6044955.43700,272.81600,False
6,2,4,2,He,    ,17592.09500,0.05300,4878.51900,0.00900,6018885.89100,0.05700,False
6,0,3,3,Li,    ,14086.87895,0.00144,5332.33100,0.00000,6015122.88742,0.00155,False
6,-2,2,4,Be,   -,18375.03300,5.44800,4487.24700,0.90800,6019726.40900,5.84800,False
6,-4,1,5,B,   x,47320.00000,2003.00000,-467.00000,334.00000,6050800.00000,2150.00000,True
7,5,6,1,H, -nn,49135.00000,1004.00000,940.00000,143.00000,7052749.00000,1078.00000,True
7,3,5,2,He,  -n,26073.12600,7.55900,4123.05700,1.08000,7027990.65400,8.11500,False
7,1,4,3,Li,    ,14907.10529,0.00423,5606.43900,0.00100,7016003.43666,0.00454,False
7,-1,3,4,Be,    ,15768.99900,0.07100,5371.54800,0.01000,7016928.71700,0.07600,False
7,-3,2,5,B, p4n,27676.55000,25.15000,3558.70500,3.59300,7029712.00000,27.00000,False
8,4,6,2,He,    ,31609.68100,0.08900,3924.52000,0.01100,8033934.39000,0.09500,False
8,2,5,3,Li,    ,20945.80400,0.04700,5159.71200,0.00600,8022486.24600,0.05000,False
8,0,4,4,Be,  -a,4941.67100,0.03500,7062.43500,0.00400,8005305.10200,0.03700,False
8,-2,3,5,B,    ,22921.56700,1.00000,4717.15500,0.12500,8024607.31600,1.07300,False
8,-4,2,6,C,    ,35064.26800,18.24300,3101.52400,2.28000,8037643.04200,19.58400,False
9,5,7,2,He,    ,40935.82600,46.81600,3349.03700,5.20200,9043946.41900,50.25900,False
9,3,6,3,Li, -3n,24954.90200,0.18600,5037.76800,0.02100,9026790.19100,0.20000,False
9,1,5,4,Be,    ,11348.45300,0.07700,6462.66800,0.00900,9012183.06600,0.08200,False
9,-1,4,5,B,   -,12416.48800,0.90300,6257.07000,0.10000,9013329.64900,0.96900,False
9,-3,3,6,C, -pp,28910.97200,2.13700,4337.42300,0.23700,9031037.20700,2.29300,False
10,6,8,2,He, -nn,49197.14300,92.84800,2995.13400,9.28500,10052815.30800,99.67600,False
10,4,7,3,Li,  -n,33052.62400,12.72100,4531.35100,1.27200,10035483.45300,13.65600,False
10,2,6,4,Be,    ,12607.48800,0.08100,6497.63000,0.00800,10013534.69500,0.08600,False
10,0,5,5,B,    ,12050.60900,0.01500,6475.08300,0.00200,10012936.86200,0.01600,False
10,-2,4,6,C,    ,15698.67200,0.07000,6032.04200,0.00700,10016853.21800,0.07500,False
10,-4,3,7,N,  --,38800.02600,400.00000,3643.67200,40.00000,10041653.54300,429.41700,False
11,5,8,3,Li,   x,40728.25400,0.61500,4155.38100,0.05600,11043723.58100,0.66000,False
11,3,7,4,Be,    ,20177.16700,0.23800,5952.54000,0.02200,11021661.08100,0.25500,False
11,1,6,5,B,    ,8667.70700,0.01200,6927.73200,0.00100,11009305.16600,0.01300,False
11,-1,5,6,C,    ,10649.39600,0.06000,6676.45600,0.00500,11011432.59700,0.06400,False
11,-3,4,7,N,  -p,24303.55900,46.15400,5364.04600,4.19600,11026090.94500,49.54800,False
12,6,9,3,Li,  -n,49009.57100,30.00600,3791.60000,2.50100,12052613.94100,32.21300,False
12,4,8,4,Be,    ,25077.76000,1.90900,5720.72200,0.15900,12026922.08300,2.04800,False
12,2,7,5,B,    ,13369.39700,1.32100,6631.22300,0.11000,12014352.63800,1.41800,False
12,0,6,6,C,    ,0.00000,0.00000,7680.14400,0.00000,12000000.00000,0.00000,False
12,-2,5,7,N,    ,17338.06800,1.00000,6170.10900,0.08300,12018613.18200,1.07300,False
12,-4,4,8,O, -pp,31914.61300,24.00000,4890.20200,2.00000,12034261.74700,25.76500,False
13,7,10,3,Li, -nn,56980.88800,70.00300,3507.63000,5.38500,13061171.50300,75.15000,False
13,5,9,4,Be,  -n,33659.07700,10.18000,5241.43500,0.78300,13036134.50700,10.92900,False
13,3,8,5,B, -nn,16561.94700,1.00000,6496.41900,0.07700,13017779.98100,1.07300,False
13,1,7,6,C,    ,3125.00888,0.00021,7469.84900,0.00000,13003354.83521,0.00023,False
13,-1,6,7,N,    ,5345.48100,0.27000,7238.86300,0.02100,13005738.60900,0.28900,False
13,-3,5,8,O, +3n,23115.43200,9.52600,5811.76300,0.73300,13024815.43700,10.22600,False
14,6,10,4,Be,   x,39954.49800,132.24500,4993.89700,9.44600,14042892.92000,141.97000,False
14,4,9,5,B,    ,23663.68500,21.21300,6101.64400,1.51500,14025404.01200,22.77300,False
14,2,8,6,C,    ,3019.89278,0.00376,7520.31900,0.00000,14003241.98843,0.00403,False
14,0,7,7,N,    ,2863.41672,0.00019,7475.61400,0.00000,14003074.00446,0.00021,False
14,-2,6,8,O,    ,8007.78100,0.02500,7052.27800,0.00200,14008596.70600,0.02700,False
14,-4,5,9,F,  -p,31964.40200,41.11900,5285.20800,2.93700,14034315.19900,44.14200,False
15,7,11,4,Be,  -n,49825.81500,165.79700,4540.97000,11.05300,15053490.21500,177.99000,False
15,5,10,5,B,    ,28958.24200,21.03200,5879.98500,1.40200,15031087.95300,22.57800,False
15,3,9,6,C,  -n,9873.14400,0.80000,7100.16900,0.05300,15010599.25600,0.85800,False
15,1,8,7,N,    ,101.43871,0.00060,7699.46000,0.00000,15000108.89894,0.00065,False
15,-1,7,8,O,    ,2855.60500,0.49100,7463.69200,0.03300,15003065.61800,0.52600,False
15,-3,6,9,F,  -p,16566.75100,14.00000,6497.45900,0.93300,15017785.13900,15.02900,False
15,-5,5,10,Ne, -pp,40215.37300,66.68400,4868.72800,4.44600,15043172.98000,71.58800,False
16,8,12,4,Be, -nn,57447.13200,165.79700,4285.28500,10.36200,16061672.03600,177.99000,False
16,6,11,5,B,    ,37112.51000,24.56900,5507.30200,1.53600,16039841.92000,26.37500,False
16,4,10,6,C, -nn,13694.13200,3.57800,6922.05400,0.22400,16014701.25600,3.84000,False
16,2,9,7,N,  -n,5683.90700,2.30100,7373.79600,0.14400,16006101.92500,2.47000,False
16,0,8,8,O,    ,-4737.00135,0.00016,7976.20600,0.00000,15994914.61960,0.00017,False
16,-2,7,9,F,   -,10680.25300,8.32100,6963.73100,0.52000,16011465.72300,8.93200,False
16,-4,6,10,Ne,  --,23986.77600,20.48000,6083.17700,1.28000,16025750.86400,21.98600,False
17,7,12,5,B,   x,43716.31700,204.10400,5269.66700,12.00600,17046931.39900,219.11400,False
17,5,11,6,C,2p-n,21031.89800,17.36500,6558.02400,1.02100,17022578.67200,18.64100,False
17,3,10,7,N,  +p,7870.07900,15.00000,7286.22900,0.88200,17008448.87700,16.10300,False
17,1,9,8,O,    ,-808.76348,0.00066,7750.72800,0.00000,16999131.75664,0.00070,False
17,-1,8,9,F,    ,1951.70200,0.24800,7542.32800,0.01500,17002095.23800,0.26600,False
17,-3,7,10,Ne,    ,16500.44700,0.35400,6640.49900,0.02100,17017713.95900,0.38000,False
17,-5,6,11,Na,   x,35173.21400,1001.35600,5496.08000,58.90300,17037760.00000,1075.00000,False
18,8,13,5,B,  -n,51792.63400,204.16500,4976.63000,11.34200,18055601.68200,219.18000,False
18,6,12,6,C,  ++,24919.26400,30.00000,6426.13100,1.66700,18026751.93200,32.20600,False
18,4,11,7,N,   +,13113.16800,18.57000,7038.56200,1.03200,18014077.56500,19.93500,False
18,2,10,8,O,    ,-782.81560,0.00071,7767.09700,0.00000,17999159.61284,0.00076,False
18,0,9,9,F,    ,873.11300,0.46300,7631.63800,0.02600,18000937.32500,0.49700,False
18,-2,8,10,Ne,    ,5317.61400,0.36300,7341.25700,0.02000,18005708.69300,0.39000,False
18,-4,7,11,Na,    ,25037.98800,93.88100,6202.21700,5.21600,18026879.38600,100.78500,False
19,9,14,5,B,   x,59770.24400,525.36300,4719.63400,27.65100,19064166.00000,564.00000,False
19,7,13,6,C,  -n,32413.75200,98.38900,6118.27300,5.17800,19034797.59600,105.62500,False
19,5,12,7,N,p-2n,15856.28200,16.40400,6948.54300,0.86300,19017022.41900,17.61000,False
19,3,11,8,O,  -n,3332.85800,2.63700,7566.49500,0.13900,19003577.97000,2.83000,False
19,1,10,9,F,    ,-1487.44420,0.00086,7779.01800,0.00000,18998403.16288,0.00093,False
19,-1,9,10,Ne, +3n,1752.05000,0.16000,7567.34300,0.00800,19001880.90300,0.17100,False
19,-3,8,11,Na,    ,12929.39000,10.53500,6937.88500,0.55400,19013880.27200,11.30900,False
19,-5,7,12,Mg, -pp,31828.38900,50.00100,5902.02500,2.63200,19034169.18200,53.67800,False
20,10,15,5,B,   x,68450.00000,800.00000,4453.00000,40.00000,20073484.00000,859.00000,True
20,8,14,6,C,   x,37503.56300,230.62500,5961.43500,11.53100,20040261.73200,247.58500,False
20,6,13,7,N,   x,21766.49600,78.89400,6709.17100,3.94500,20023367.29500,84.69600,False
20,4,12,8,O, -nn,3796.17200,0.88500,7568.57000,0.04400,20004075.35800,0.95000,False
20,2,11,9,F,  -n,-17.46300,0.03000,7720.13400,0.00200,19999981.25200,0.03100,False
20,0,10,10,Ne,    ,-7041.93055,0.00157,8032.24000,0.00000,19992440.17619,0.00168,False
20,-2,9,11,Na,    ,6850.60400,1.11400,7298.49600,0.05600,20007354.42600,1.19500,False
20,-4,8,12,Mg,  +t,17477.69200,1.86300,6728.02500,0.09300,20018763.07500,2.00000,False
21,11,16,5,B,   x,77330.00000,900.00000,4203.00000,43.00000,21083017.00000,966.00000,True
21,9,15,6,C,   x,45643.00000,596.00000,5674.00000,28.00000,21049000.00000,640.00000,True
21,7,14,7,N,   x,25231.91300,134.04800,6609.01500,6.38300,21027087.57300,143.90600,False
21,5,13,8,O, -3n,8062.03500,12.00000,7389.37400,0.57100,21008654.95000,12.88200,False
21,3,12,9,F, -nn,-47.60500,1.80000,7738.29300,0.08600,20999948.89400,1.93200,False
21,1,11,10,Ne,    ,-5731.77600,0.03800,7971.71300,0.00200,20993846.68500,0.04100,False
21,-1,10,11,Na,    ,-2184.63100,0.09800,7765.54700,0.00500,20997654.70200,0.10500,False
21,-3,9,12,Mg,   x,10903.85000,0.75500,7105.03100,0.03600,21011705.76400,0.81000,False
21,-5,8,13,Al,   x,26990.00000,596.00000,6302.00000,28.00000,21028975.00000,640.00000,True
22,10,16,6,C, -nn,53611.19700,231.49000,5421.07700,10.52200,22057553.99000,248.51500,False
22,8,15,7,N,   x,31764.80100,207.77900,6378.53400,9.44500,22034100.91800,223.06000,False
22,6,14,8,O, -4n,9283.03300,56.92100,7364.87100,2.58700,22009965.74600,61.10700,False
22,4,13,9,F,   +,2793.37300,12.39900,7624.29500,0.56400,22002998.80900,13.31000,False
22,2,12,10,Ne,    ,-8024.71900,0.01800,8080.46500,0.00100,21991385.10900,0.01800,False
22,0,11,11,Na,    ,-5181.51100,0.17100,7915.66700,0.00800,21994437.41800,0.18300,False
22,-2,10,12,Mg,    ,-399.93300,0.31300,7662.76100,0.01400,21999570.65400,0.33500,False
22,-4,9,13,Al,   x,18201.00000,401.00000,6782.00000,18.00000,22019540.00000,430.00000,True
22,-6,8,14,Si,   x,33338.00000,503.00000,6058.00000,23.00000,22035790.00000,540.00000,True
23,11,17,6,C,   x,64171.00000,997.00000,5077.00000,43.00000,23068890.00000,1070.00000,True
23,9,16,7,N,   x,36720.42500,420.57000,6236.67100,18.28600,23039421.00000,451.50000,False
23,7,15,8,O,   x,14621.36900,121.71200,7163.48500,5.29200,23015696.68600,130.66300,False
23,5,14,9,F,    ,3285.26300,33.32000,7622.34400,1.44900,23003526.87400,35.77000,False
23,3,13,10,Ne,  -n,-5154.04900,0.10400,7955.25600,0.00500,22994466.90000,0.11200,False
23,1,12,11,Na,    ,-9529.85248,0.00181,8111.49300,0.00000,22989769.28199,0.00194,False
23,-1,11,12,Mg,   -,-5473.51300,0.15800,7901.11500,0.00700,22994123.94100,0.17000,False
23,-3,10,13,Al,  --,6748.07000,0.34500,7335.72700,0.01500,23007244.35100,0.37000,False
23,-5,9,14,Si,   x,23697.00000,503.00000,6565.00000,22.00000,23025440.00000,540.00000,True
24,10,17,7,N,   x,46938.00000,401.00000,5887.00000,17.00000,24050390.00000,430.00000,True
24,8,16,8,O,   x,18500.40200,164.87400,7039.68500,6.87000,24019861.00000,177.00000,False
24,6,15,9,F,   x,7544.51500,97.67000,7463.58200,4.07000,24008099.37000,104.85300,False
24,4,14,10,Ne, -nn,-5951.64600,0.51300,7993.32500,0.02100,23993610.64500,0.55000,False
24,2,13,11,Na,  -n,-8417.90100,0.01700,8063.48800,0.00100,23990963.01100,0.01700,False
24,0,12,12,Mg,    ,-13933.56900,0.01300,8260.70900,0.00100,23985041.69700,0.01400,False
24,-2,11,13,Al,  ep,-48.86500,0.23300,7649.58200,0.01000,23999947.54100,0.25000,False
24,-4,10,14,Si,  --,10745.19500,19.47200,7167.23200,0.81100,24011535.44100,20.90400,False
24,-6,9,15,P,   x,33320.00000,503.00000,6194.00000,21.00000,24035770.00000,540.00000,True
25,11,18,7,N,   x,55983.00000,503.00000,5613.00000,20.00000,25060100.00000,540.00000,True
25,9,17,8,O,  -n,27329.02700,165.08400,6727.80500,6.60300,25029338.91900,177.22500,False
25,7,16,9,F,   x,11334.16600,96.44200,7336.30600,3.85800,25012167.72700,103.53500,False
25,5,15,10,Ne,    ,-2035.50200,29.04500,7839.79900,1.16200,24997814.79900,31.18100,False
25,3,14,11,Na, -nn,-9357.81300,1.20000,8101.39700,0.04800,24989953.97300,1.28800,False
25,1,13,12,Mg,    ,-13192.78300,0.04700,8223.50200,0.00200,24985836.96400,0.05000,False
25,-1,12,13,Al,    ,-8915.97500,0.06500,8021.13600,0.00300,24990428.30600,0.06900,False
25,-3,11,14,Si, +3n,3827.32400,10.00000,7480.11000,0.40000,25004108.80100,10.73500,False
25,-5,10,15,P,   x,19738.00000,401.00000,6812.00000,16.00000,25021190.00000,430.00000,True
26,10,18,8,O, -nn,34661.03700,164.95000,6497.47800,6.34400,26037210.15500,177.08100,False
26,8,17,9,F,   x,18648.87500,111.19900,7083.24000,4.27700,26020020.39200,119.37700,False
26,6,16,10,Ne,   x,481.11400,18.42900,7751.91000,0.70900,26000516.49600,19.78400,False
26,4,15,11,Na,   x,-6860.78000,3.50200,8004.20100,0.13500,25992634.64900,3.75900,False
26,2,14,12,Mg,    ,-16214.54200,0.03000,8333.87000,0.00100,25982592.97100,0.03200,False
26,0,13,13,Al,    ,-12210.15100,0.06700,8149.76500,0.00300,25986891.86300,0.07100,False
26,-2,12,14,Si,   -,-7141.01500,0.10800,7924.70800,0.00400,25992333.80400,0.11500,False
26,-4,11,15,P,   x,10973.00000,196.00000,7198.00000,8.00000,26011780.00000,210.00000,True
26,-6,10,16,S,   x,27079.00000,596.00000,6548.00000,23.00000,26029070.00000,640.00000,True
27,11,19,8,O,   x,44670.00000,500.00000,6185.00000,19.00000,27047955.00000,537.00000,True
27,9,18,9,F,   x,25450.27900,389.83000,6867.93200,14.43800,27027322.00000,418.50000,False
27,7,17,10,Ne,   x,7050.90900,90.77000,7520.41400,3.36200,27007569.46200,97.44500,False
27,5,16,11,Na,  ++,-5517.79000,3.72600,7956.94600,0.13800,26994076.40800,4.00000,False
27,3,15,12,Mg,  -n,-14586.61100,0.05000,8263.85200,0.00200,26984340.62800,0.05300,False
27,1,14,13,Al,    ,-17196.86100,0.04700,8331.55300,0.00200,26981538.40800,0.05000,False
27,-1,13,14,Si,   -,-12384.50300,0.10700,8124.34100,0.00400,26986704.68800,0.11500,False
27,-3,12,15,P, p4n,-722.45800,26.34000,7663.43800,0.97600,26999224.40900,28.27700,False
27,-5,11,16,S,   -,17028.00000,401.00000,6977.00000,15.00000,27018280.00000,430.00000,True
28,12,20,8,O,   x,52080.00000,699.00000,5988.00000,25.00000,28055910.00000,750.00000,True
28,10,19,9,F,  -n,33741.59600,393.02400,6614.79200,14.03700,28036223.09500,421.92800,False
28,8,18,10,Ne,   x,11299.73700,126.06800,7388.34600,4.50200,28012130.76700,135.33900,False
28,6,17,11,Na,   x,-988.31500,10.24600,7799.26400,0.36600,27998939.00000,11.00000,False
28,4,16,12,Mg,   +,-15018.84500,2.00100,8272.41300,0.07100,27983876.60600,2.14800,False
28,2,15,13,Al,  -n,-16850.64500,0.07700,8309.89400,0.00300,27981910.08700,0.08300,False
28,0,14,14,Si,    ,-21492.79430,0.00049,8447.74400,0.00000,27976926.53499,0.00052,False
28,-2,13,15,P,    ,-7147.74000,1.15200,7907.47900,0.04100,27992326.58500,1.23600,False
28,-4,12,16,S,  --,4073.20600,160.00000,7478.79000,5.71400,28004372.76600,171.76700,False
28,-6,11,17,Cl,   x,27516.00000,596.00000,6614.00000,21.00000,28029540.00000,640.00000,True
29,11,20,9,F,   x,40150.18600,525.36300,6444.03100,18.11600,29043103.00000,564.00000,False
29,9,19,10,Ne,   x,18399.80100,149.50500,7167.06700,5.15500,29019753.00000,160.50000,False
29,7,18,11,Na,    ,2679.99400,7.33700,7682.15100,0.25300,29002877.09200,7.87600,False
29,5,17,12,Mg,   x,-10602.82900,11.40000,8113.20200,0.39300,28988617.39300,12.23800,False
29,3,16,13,Al,   x,-18207.76000,0.34500,8348.46400,0.01200,28980453.16400,0.37000,False
29,1,15,14,Si,    ,-21895.07838,0.00056,8448.63500,0.00000,28976494.66525,0.00060,False
29,-1,14,15,P,    ,-16952.84800,0.35900,8251.23600,0.01200,28981800.36800,0.38500,False
29,-3,13,16,S, +3n,-3156.41600,50.00000,7748.52000,1.72400,28996611.44800,53.67700,False
29,-5,12,17,Cl,  -p,13162.17600,188.68000,7158.83200,6.50600,29014130.17800,202.55500,False
30,12,21,9,F,   x,48112.00000,596.00000,6233.00000,20.00000,30051650.00000,640.00000,True
30,10,20,10,Ne,    ,23280.11700,253.25000,7034.53100,8.44200,30024992.23500,271.87500,False
30,8,19,11,Na,    ,8474.67000,4.72700,7501.96800,0.15800,30009097.93200,5.07400,False
30,6,18,12,Mg,   x,-8883.82000,3.44700,8054.50600,0.11500,29990462.82600,3.70000,False
30,4,17,13,Al,   x,-15864.84400,2.88800,8261.12800,0.09600,29982968.38800,3.10000,False
30,2,16,14,Si,  -n,-24432.96000,0.02200,8520.65400,0.00100,29973770.13600,0.02300,False
30,0,15,15,P,   -,-20200.85400,0.06500,8353.50600,0.00200,29978313.48900,0.06900,False
30,-2,14,16,S,   -,-14059.25300,0.20600,8122.70700,0.00700,29984906.76900,0.22100,False
30,-4,13,17,Cl,   x,4443.00000,196.00000,7480.00000,7.00000,30004770.00000,210.00000,True
30,-6,12,18,Ar, -pp,20931.14700,206.15500,6904.20400,6.87200,30022470.51100,221.31600,False
31,13,22,9,F, -nn,56143.00000,546.00000,6033.00000,18.00000,31060272.00000,587.00000,True
31,11,21,10,Ne,    ,31181.59100,266.19500,6813.09000,8.58700,31033474.81600,285.77200,False
31,9,20,11,Na,   x,12246.03100,13.97200,7398.67700,0.45100,31013146.65600,15.00000,False
31,7,19,12,Mg,   x,-3122.15100,3.07400,7869.18800,0.09900,30996648.23200,3.30000,False
31,5,18,13,Al,   x,-14950.70600,2.23600,8225.51700,0.07200,30983949.75600,2.40000,False
31,3,17,14,Si,  -n,-22949.03600,0.04300,8458.29100,0.00100,30975363.19400,0.04600,False
31,1,16,15,P,    ,-24440.54095,0.00067,8481.16700,0.00000,30973761.99863,0.00072,False
31,-1,15,16,S,    ,-19042.52500,0.22900,8281.80000,0.00700,30979557.00700,0.24600,False
31,-3,14,17,Cl,  --,-7034.55100,3.44700,7869.20900,0.11100,30992448.09800,3.70000,False
31,-5,13,18,Ar,   -,11325.00000,200.00000,7252.00000,6.00000,31012158.00000,215.00000,True
32,12,22,10,Ne,   x,36999.00000,503.00000,6671.00000,16.00000,32039720.00000,540.00000,True
32,10,21,11,Na,   x,18640.15100,37.26000,7219.88100,1.16400,32020011.02600,40.00000,False
32,8,20,12,Mg,   x,-828.90000,3.26000,7803.84000,0.10200,31999110.13900,3.50000,False
32,6,19,13,Al,   x,-11099.36700,7.17300,8100.34400,0.22400,31988084.33900,7.70000,False
32,4,18,14,Si,   x,-24077.68600,0.29800,8481.46800,0.00900,31974151.53900,0.32000,False
32,2,17,15,P,  -n,-24304.87400,0.04000,8464.12000,0.00100,31973907.64300,0.04200,False
32,0,16,16,S,    ,-26015.53355,0.00132,8493.12900,0.00000,31972071.17443,0.00141,False
32,-2,15,17,Cl,    ,-13334.67400,0.56200,8072.40400,0.01800,31985684.63700,0.60300,False
32,-4,14,18,Ar,   x,-2200.35100,1.77000,7700.00800,0.05500,31997637.82600,1.90000,False
32,-6,13,19,K,   x,21098.00000,401.00000,6947.00000,13.00000,32022650.00000,430.00000,True
33,13,23,10,Ne,   x,45997.00000,596.00000,6440.00000,18.00000,33049380.00000,640.00000,True
33,11,22,11,Na,   x,23780.11000,449.91200,7089.92600,13.63400,33025529.00000,483.00000,False
33,9,21,12,Mg,   x,4962.29700,2.88800,7636.45500,0.08800,33005327.24500,3.10000,False
33,7,20,13,Al,   x,-8497.38000,6.98600,8020.61600,0.21200,32990877.68700,7.50000,False
33,5,19,14,Si,   x,-20514.32500,0.69900,8361.05900,0.02100,32977976.96400,0.75000,False
33,3,18,15,P,   +,-26337.34600,1.09000,8513.80600,0.03300,32971725.69400,1.17000,False
33,1,17,16,S,    ,-26585.85434,0.00135,8497.63000,0.00000,32971458.90985,0.00145,False
33,-1,16,17,Cl,    ,-21003.33700,0.39100,8304.75500,0.01200,32977451.98900,0.41900,False
33,-3,15,18,Ar,   x,-9384.29200,0.40100,7928.95500,0.01200,32989925.54700,0.43000,False
33,-5,14,19,K,   x,7042.00000,196.00000,7407.00000,6.00000,33007560.00000,210.00000,True
34,14,24,10,Ne, -nn,52842.00000,513.00000,6287.00000,15.00000,34056728.00000,551.00000,True
34,12,23,11,Na,   x,31680.11100,599.41600,6886.43700,17.63000,34034010.00000,643.50000,False
34,10,22,12,Mg,   x,8323.34800,28.87600,7550.39000,0.84900,34008935.48100,31.00000,False
34,8,21,13,Al,   x,-3000.28900,3.07400,7860.42800,0.09000,33996779.05700,3.30000,False
34,6,20,14,Si, +pp,-19956.85200,14.11800,8336.14100,0.41500,33978575.43700,15.15500,False
34,4,19,15,P,   x,-24548.69800,0.81000,8448.18500,0.02400,33973645.88700,0.87000,False
34,2,18,16,S,    ,-29931.68500,0.04500,8583.49800,0.00100,33967867.01200,0.04700,False
34,0,17,17,Cl,    ,-24440.08200,0.04900,8398.97000,0.00100,33973762.49100,0.05200,False
34,-2,16,18,Ar,    ,-18378.29000,0.07800,8197.67200,0.00200,33980270.09300,0.08300,False
34,-4,15,19,K,   x,-1220.00000,196.00000,7670.00000,6.00000,33998690.00000,210.00000,True
34,-6,14,20,Ca,   x,13851.00000,298.00000,7204.00000,9.00000,34014870.00000,320.00000,True
35,13,24,11,Na,  -n,38231.00000,670.00000,6733.00000,19.00000,35041043.00000,720.00000,True
35,11,23,12,Mg,   x,15639.78400,269.66800,7356.23300,7.70500,35016790.00000,289.50000,False
35,9,22,13,Al,   x,-223.72800,7.35900,7787.12400,0.21000,34999759.81700,7.90000,False
35,7,21,14,Si,2p-n,-14391.45700,35.85700,8169.56300,1.02400,34984550.13400,38.49400,False
35,5,20,15,P,  +p,-24857.79900,1.86600,8446.24900,0.05300,34973314.05300,2.00300,False
35,3,19,16,S,    ,-28846.20600,0.04000,8537.85000,0.00100,34969032.32200,0.04300,False
35,1,18,17,Cl,    ,-29013.52800,0.03500,8520.27800,0.00100,34968852.69400,0.03800,False
35,-1,17,18,Ar,   -,-23047.28400,0.68000,8327.46100,0.01900,34975257.72100,0.73000,False
35,-3,16,19,K,  4n,-11172.89100,0.51200,7965.84000,0.01500,34988005.40700,0.55000,False
35,-5,15,20,Ca,   x,4788.00000,196.00000,7487.00000,6.00000,35005140.00000,210.00000,True
36,14,25,11,Na,  -n,46303.00000,678.00000,6546.00000,19.00000,36049708.00000,728.00000,True
36,12,24,12,Mg,   x,20380.15700,690.23700,7244.41900,19.17300,36021879.00000,741.00000,False
36,10,23,13,Al,   x,5950.38400,149.50500,7623.51500,4.15300,36006388.00000,160.50000,False
36,8,22,14,Si,   x,-12436.12400,71.79700,8112.51900,1.99400,35986649.27100,77.07700,False
36,6,21,15,P,   +,-20251.03400,13.11400,8307.86800,0.36400,35978259.61900,14.07800,False
36,4,20,16,S,    ,-30664.13100,0.18800,8575.38900,0.00500,35967080.69900,0.20100,False
36,2,19,17,Cl,    ,-29522.00500,0.03600,8521.93100,0.00100,35968306.82200,0.03800,False
36,0,18,18,Ar,    ,-30231.54000,0.02700,8519.90900,0.00100,35967545.10500,0.02800,False
36,-2,17,19,K,    ,-17417.06500,0.34100,8142.21900,0.00900,35981302.01000,0.36600,False
36,-4,16,20,Ca,  4n,-6451.14900,40.00000,7815.87900,1.11100,35993074.40600,42.94100,False
36,-6,15,21,Sc,   x,15351.00000,298.00000,7189.00000,8.00000,36016480.00000,320.00000,True
37,15,26,11,Na, -nn,53534.00000,687.00000,6392.00000,19.00000,37057471.00000,737.00000,True
37,13,25,12,Mg,  -n,28211.47400,698.94700,7055.11100,18.89000,37030286.26500,750.35000,False
37,11,24,13,Al,   x,9809.56300,180.24400,7531.31500,4.87100,37010531.00000,193.50000,False
37,9,23,14,Si,   x,-6571.51100,113.80900,7952.90300,3.07600,36992945.19100,122.17900,False
37,7,22,15,P,p-2n,-18995.99800,37.94800,8267.55500,1.02600,36979606.95600,40.73800,False
37,5,21,16,S,  -n,-26896.41700,0.19800,8459.93500,0.00500,36971125.50700,0.21200,False
37,3,20,17,Cl,    ,-31761.53800,0.05200,8570.28100,0.00100,36965902.58400,0.05500,False
37,1,19,18,Ar,   -,-30947.66400,0.20700,8527.13900,0.00600,36966776.31400,0.22100,False
37,-1,18,19,K,  -p,-24800.19900,0.09400,8339.84700,0.00300,36973375.88900,0.10000,False
37,-3,17,20,Ca,   x,-13136.06600,0.63400,8003.45600,0.01700,36985897.85200,0.68000,False
37,-5,16,21,Sc,   x,3520.00000,300.00000,7532.00000,8.00000,37003779.00000,322.00000,True
38,14,26,12,Mg,   x,34074.00000,503.00000,6928.00000,13.00000,38036580.00000,540.00000,True
38,12,25,13,Al,   x,16209.85900,374.46100,7377.09700,9.85400,38017402.00000,402.00000,False
38,10,24,14,Si,   x,-4170.29900,104.79300,7892.82900,2.75800,37995523.00000,112.50000,False
